sr_code,name,email,password,birthdate,gender,civil_status,scholar,working_student,activities,transportation,accommodation,characteristics,interest,subjects_enrolled,year_started,year_level,target_gwa,learning_style,attended_seminars
22-05813,Michelle Adame,22-05813@g.batstate-u.edu.ph,m9#n1WvUF,2004-03-28,Female,Married,True,False,False,Private Car / Taxi,Dormitory,"Punctual, Adaptable, Self-Disciplined, Diligent","Sports, Music, Art","CS 121, Fili 102, GEd 105, GEd 108, Math 401, Math 407, PE 102",2022,First Year,1.5,"Kinaesthetic / Hands-on, Social, Visual",5
21-30073,Christopher Ball,21-30073@g.batstate-u.edu.ph,4Se&kk1kR3,2001-02-24,Male,Single,True,True,False,Private Car / Taxi,Apartment,"Punctual, Alert, Ambitious","Reading Books, Travel, Art, Volunteering","CS 221, CS 222, IT 221, GEd 106, GEd 107, ES 101, ENGG 414, PE 104",2021,Second Year,1,"Read/Write, Kinaesthetic / Hands-on, Logical / Patterns, Auditory, Intuitive, Visual",9
20-00277,Dale Martel,20-00277@g.batstate-u.edu.ph,8QMt51?mSI,2001-11-23,Male,Single,True,False,True,Private Car / Taxi,Dormitory,"Analytical, Witty, Confident, Honest, Persistent","Food, Photography, Sports","CS 321, CS 322, CS 324, Math 409, GEd 103, NTT 404",2020,Third Year,1.25,"Kinaesthetic / Hands-on, Social, Visual, Logical / Patterns",8
21-17884,Douglas Gann,21-17884@g.batstate-u.edu.ph,N7N&6#6O9m,2001-06-03,Male,Single,True,True,False,Bus,Dormitory,"Self-Disciplined, Cooperative, Consitent, Adaptable","Photography, Yoga, Reading Books, Music","CS 211, CS 212, IT 211, IT 212, Phy 101, CpE 405, GEd 109, PE 103",2021,Second Year,2,"Social, Auditory, Intuitive",6
19-90487,Monica Rodriquez,19-90487@g.batstate-u.edu.ph,!_k08lYs,1999-09-23,Female,Single,False,True,True,Bus,Apartment,"Witty, Consitent, Adaptable","Volunteering, Travel, Games, Photography","CS 421, CS 422, CS 423, IT 323, ENGG 405, CS 425",2019,Fourth Year,1.25,"Logical / Patterns, Social, Kinaesthetic / Hands-on, Visual, Auditory, Intuitive",5
21-41496,Ernest Page,21-41496@g.batstate-u.edu.ph,WVE6p2=r,2003-01-06,Male,Single,True,False,False,Bus,Apartment,"Punctual, Cooperative, Persistent, Responsible, Ambitious","Yoga, Travel, Sports","CS 221, CS 222, IT 221, GEd 106, GEd 107, ES 101, ENGG 414, PE 104",2021,Second Year,1,"Auditory, Social, Intuitive, Read/Write",9
21-32074,Noel Hurd,21-32074@g.batstate-u.edu.ph,_x#V0hlh%,2002-07-22,Male,Single,False,False,False,Bicycle,Dormitory,"Witty, Self-Disciplined, Responsible, Confident, Ambitious","Games, Reading Books, Sports, Music","CS 221, CS 222, IT 221, GEd 106, GEd 107, ES 101, ENGG 414, PE 104",2021,Second Year,1.5,"Auditory, Social, Intuitive, Logical / Patterns, Kinaesthetic / Hands-on, Visual",3
22-14944,Nancy Peyton,22-14944@g.batstate-u.edu.ph,"GDLrGT9,eD",2004-02-16,Female,Single,True,False,False,Bus,With Family,"Witty, Self-Disciplined, Adaptable, Punctual, Alert","Volunteering, Programming, Yoga, Art","CS 121, Fili 102, GEd 105, GEd 108, Math 401, Math 407, PE 102",2022,First Year,1,"Intuitive, Kinaesthetic / Hands-on, Social, Read/Write",3
21-70778,John Erickson,21-70778@g.batstate-u.edu.ph,oPl-9>hu,2003-05-11,Male,Single,True,False,False,Bus,With Family,"Adaptable, Analytical, Honest, Punctual, Creative","Games, Volunteering, Dancing, Art","CS 221, CS 222, IT 221, GEd 106, GEd 107, ES 101, ENGG 414, PE 104",2021,Second Year,1,"Logical / Patterns, Intuitive, Visual, Kinaesthetic / Hands-on, Auditory, Social",10
20-42762,Darlene Barrett,20-42762@g.batstate-u.edu.ph,<vv9F^K05,2002-07-31,Female,Single,False,False,True,Bus,With Family,"Creative, Careful, Cooperative, Obedient","Yoga, Music, Food","CS 321, CS 322, CS 324, Math 409, GEd 103, NTT 404",2020,Third Year,2,"Visual, Intuitive, Social",7
22-14267,Shaun Tatsch,22-14267@g.batstate-u.edu.ph,C<v2qp(nI7,2002-12-19,Male,Single,False,False,False,Private Car / Taxi,Dormitory,"Witty, Ambitious, Adventurous","Photography, Yoga","CS 121, Fili 102, GEd 105, GEd 108, Math 401, Math 407, PE 102",2022,First Year,1.25,"Intuitive, Read/Write",6
